,2021 - Multi-state Hemp Dual Purpose Trial (MHDPT) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Record Disease  and Insect Information if Present,,,,,,,,Notes: 
,,,,,,Grain Yield,Grain Yield,Dry Straw Yield,Dry Straw Yield,Plant Population at Establishment,Plant Population at Establishment,Plant Population at Harvest,Plant Population at Harvest,Total Plant Height at Harvest ,Total Plant Height at Harvest ,Stem Diameter at Harvest ,Stem Diameter at Harvest ,Time to 50%  flower (Male),Time to 50%  flower (Female Monoeciuos)  ,Male:Female,Harvest Moisture ,Protein Content ,Oil Content ,1000 Kernal Weight,Lodging,Hemp Leaf Spot ,Powdery Mildew ,Cercospora Leaf Spot ,Southern Blight,Fusarium Head Blight ,Russet Mites ,Corn Ear Worm,Hemp Borer ,
Site,Variety / Line,Rep,Entry,Plot #,,grams/m2,lbs./A,grams/m2,lbs./A,# plants/m2 ,plants/A,# plantsm2 ,plants/A,Mean (cm),SD (cm),Mean (mm),SD (mm),Days,Days ,,%,,,grams,(0-9),,,,,,,,,
Kansas_Lexington, Altair,2,409,,,10.53,67.1810787,117.57,825.8901003,,,37,149733.6875,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,1,110,,,30.06,241.4236374,72.15,420.6623985,,,8,32374.85136,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,1,212,,,16.82,123.2991378,86.18,545.8351122,,,34,137593.1183,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,1,302,,,34.74,283.1776146,123.88,882.1865952,,,18,72843.41556,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,1,406,,,21.72,167.0159088,93.32,609.5366928,,,19,76890.27198,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,2,110,,,21.41,164.2501539,79.35,484.8992865,,,10,40468.5642,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,2,212,,,15.46,111.1655034,89.64,576.7045056,,,32,129499.4054,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,2,302,,,19.58,147.9232782,102.21,688.8514059,,,27,109265.1233,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Anka,2,406,,,24.97,196.0117263,137.5,1003.701375,,,36,145686.8311,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,1,107,,,16.43,119.8196397,96.19,635.1422301,,,8,32374.85136,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,1,202,,,36.53,299.1476187,69.55,397.4657445,,,13,52609.13346,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,1,309,,,14.87,105.9016473,95.79,631.5735141,,,10,40468.5642,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,1,413,,,14.54,102.9574566,68.57,388.7223903,,,13,52609.13346,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,2,107,,,10.98,71.1958842,74.97,445.8218463,,,8,32374.85136,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,2,202,,,14.33,101.0838807,100.35,672.2568765,,,16,64749.70272,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,2,309,,,9.68,59.5975572,71.24,412.5435696,,,11,44515.42062,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,Bialobrzeskie,2,413,,,15.28,109.5595812,69.89,400.4991531,,,16,64749.70272,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,1,114,,,7,35.68716,28.81,33.9920199,,,11,44515.42062,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,1,211,,,3.5,4.460895,25.09,0.8029611,,,7,28327.99494,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,1,308,,,4.03,9.1894437,28.72,33.1890588,,,8,32374.85136,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,1,407,,,4.04,9.2786616,29.37,38.9882223,,,11,44515.42062,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,2,114,,,7.36,38.8990044,36.97,106.7938263,,,14,56655.98988,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,2,211,,,3.28,2.4981012,253,2034.16812,,,4,16187.42568,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington,CFX1,2,308,,,4.91,17.0406189,32.99,71.2851021,,,23,93077.69766,,,,,,,,,,,,,,,,,,,,,
